time,rc_on,rc_w,rc_to,mode,batt_w,batt_a,soc,grid_w,health,pwr_sw,axle_st,axle_ip,axle_dir,td_cur,td_sh,td_sm,td_eh,td_em,tc_cur,tc_sh,dis_cur,cd_cur,cc_slot1_dis,cc_slot1_time,cc_reserve
2026-09-07T19:33:11,off,0,0,35,683,13.0,63,-7,Healthy,On,unknown,off,unknown,90.0,19,0,20,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:33:14,off,0,0,35,683,13.0,63,7,Healthy,On,unknown,off,unknown,90.0,19,0,20,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:33:30,off,0,0,35,689,13.1,63,-8,Healthy,On,unknown,off,unknown,90.0,19,0,20,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:33:45,off,0,0,35,699,13.3,63,15,Healthy,On,unknown,off,unknown,90.0,19,0,20,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:34:00,off,0,0,35,731,13.9,63,3,Healthy,On,unknown,off,unknown,90.0,19,0,20,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:34:06,off,0,0,35,731,13.9,63,3,Healthy,On,unknown,off,unknown,90.0,0,0,20,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:34:09,off,0,0,35,731,13.9,63,3,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:34:15,off,0,0,35,683,13.0,63,-2,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:34:31,off,0,0,35,683,13.0,63,-6,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:34:43,off,0,0,35,683,13.0,63,-2,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:34:58,off,0,0,35,683,13.0,62,5,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:35:13,off,0,0,35,683,13.0,62,-8,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:35:29,off,0,0,35,683,13.0,62,1,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:35:44,off,0,0,35,694,13.2,62,16,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:35:59,off,0,0,35,683,13.0,62,-5,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:36:14,off,0,0,35,683,13.0,62,-8,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:36:29,off,0,0,35,694,13.2,62,13,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:36:45,off,0,0,35,731,13.9,62,7,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:37:00,off,0,0,35,720,13.7,62,30,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:37:15,off,0,0,35,694,13.2,62,9,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:37:30,off,0,0,35,689,13.1,62,7,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:37:46,off,0,0,35,689,13.1,62,11,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:37:58,off,0,0,35,678,12.9,62,-2,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:38:13,off,0,0,35,678,12.9,62,-5,Healthy,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:38:41,off,0,0,35,699,13.3,100,-170,Degraded,unknown,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:38:44,off,0,0,35,-2447,46.0,100,-3908,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:38:59,off,0,0,35,967,18.4,62,-14,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:39:14,off,0,0,35,1009,19.2,62,-3,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:39:29,off,0,0,35,1002,19.1,62,38,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:39:45,off,0,0,35,966,18.4,62,15,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:40:00,off,0,0,35,955,18.2,62,-8,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:40:15,off,0,0,35,941,17.9,62,-4,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:40:30,off,0,0,35,960,18.3,62,6,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:40:46,off,0,0,35,952,18.1,62,13,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:41:01,off,0,0,35,950,18.1,62,-6,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:41:13,off,0,0,35,952,18.1,62,6,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:41:28,off,0,0,35,950,18.1,62,-1,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:41:43,off,0,0,35,952,18.1,62,11,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:41:59,off,0,0,35,939,17.9,62,-10,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:42:14,off,0,0,35,952,18.1,62,5,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:42:29,off,0,0,35,945,18.0,62,1,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:42:44,off,0,0,35,939,17.9,62,12,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:43:00,off,0,0,35,936,17.8,62,-17,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:43:15,off,0,0,35,945,18.0,62,-1,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:43:30,off,0,0,35,929,17.7,62,-6,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:43:45,off,0,0,35,960,18.3,62,10,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:44:01,off,0,0,35,939,17.9,62,-7,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:44:13,off,0,0,35,939,17.9,62,5,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:44:28,off,0,0,35,1055,20.1,62,-117,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:44:43,off,0,0,35,1155,22.0,62,2,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:44:59,off,0,0,35,1139,21.7,62,-11,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:45:14,off,0,0,35,1128,21.5,62,-15,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:45:29,off,0,0,35,1118,21.3,62,-4,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:45:44,off,0,0,35,1118,21.3,62,-13,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T19:46:00,off,0,0,35,1118,21.3,62,-2,Degraded,On,unknown,off,unknown,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
