time,rc_on,rc_w,rc_to,mode,batt_w,batt_a,soc,grid_w,health,pwr_sw,axle_st,axle_ip,axle_dir,td_cur,td_sh,td_sm,td_eh,td_em,tc_cur,tc_sh,dis_cur,cd_cur,cc_slot1_dis,cc_slot1_time,cc_reserve
2026-09-07T17:07:19,off,0,0,35,1004,19.1,78,-7,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:07:28,off,0,0,35,994,18.9,78,-18,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:07:43,off,0,0,35,1015,19.3,78,15,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:07:58,off,0,0,35,1004,19.1,78,-13,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:08:14,off,0,0,35,1009,19.2,78,3,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:08:29,off,0,0,35,1009,19.2,78,13,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:08:44,off,0,0,35,1015,19.3,78,-9,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:08:59,off,0,0,35,1020,19.4,78,0,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:09:15,off,0,0,35,952,18.1,78,0,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:09:30,off,0,0,35,941,17.9,78,0,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:09:45,off,0,0,35,936,17.8,78,4,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:09:57,off,0,0,35,936,17.8,78,-9,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:10:13,off,0,0,35,946,18.0,78,16,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:10:28,off,0,0,35,946,18.0,77,7,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:10:43,off,0,0,35,941,17.9,77,1,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:10:58,off,0,0,35,941,17.9,77,0,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:11:14,off,0,0,35,946,18.0,77,16,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:11:29,off,0,0,35,946,18.0,77,-2,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:11:44,off,0,0,35,957,18.2,77,11,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:11:59,off,0,0,35,941,17.9,77,-5,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:12:15,off,0,0,35,952,18.1,77,10,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:12:30,off,0,0,35,946,18.0,77,-2,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:12:45,off,0,0,35,946,18.0,77,-4,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:13:00,off,0,0,35,946,18.0,77,4,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:13:12,off,0,0,35,957,18.2,77,22,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:13:28,off,0,0,35,946,18.0,77,-13,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:13:43,off,0,0,35,957,18.2,77,17,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:13:58,off,0,0,35,946,18.0,77,-5,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:14:13,off,0,0,35,946,18.0,77,-13,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:14:29,off,0,0,35,941,17.9,77,-14,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:14:44,off,0,0,35,952,18.1,77,6,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:14:59,off,0,0,35,946,18.0,77,-2,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:15:14,off,0,0,35,810,15.4,77,-24,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:15:30,off,0,0,35,836,15.9,77,4,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:15:45,off,0,0,35,831,15.8,77,7,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:16:00,off,0,0,35,820,15.6,77,3,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:16:15,off,0,0,35,825,15.7,77,8,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:16:27,off,0,0,35,836,15.9,77,-4,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:16:43,off,0,0,35,841,16.0,77,5,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:16:58,off,0,0,35,841,16.0,77,4,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:17:13,off,0,0,35,841,16.0,77,1,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:17:28,off,0,0,35,841,16.0,77,-9,Healthy,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:17:59,off,0,0,35,unknown,unknown,unknown,unknown,Degraded,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:18:14,off,0,0,35,862,16.4,77,23,Degraded,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:18:29,off,0,0,35,852,16.2,77,-1,Degraded,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:18:45,off,0,0,35,857,16.3,77,5,Degraded,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:19:00,off,0,0,35,857,16.3,77,-12,Degraded,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:19:15,off,0,0,35,857,16.3,77,-15,Degraded,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:19:27,off,0,0,35,862,16.4,77,0,Degraded,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:19:43,off,0,0,35,867,16.5,77,6,Degraded,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:19:58,off,0,0,35,862,16.4,77,5,Degraded,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:20:14,off,0,0,35,862,16.4,77,-3,Degraded,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
2026-09-07T17:20:29,off,0,0,35,883,16.8,77,-36,Degraded,On,upcoming,off,export,90.0,0,0,0,0,60.0,23,62.5,60.0,unavailable,unavailable,unavailable
