time,rc_on,rc_w,rc_to,mode,batt_w,batt_a,soc,grid_w,health,pwr_sw,axle
2026-09-07T16:22:11,off,0,0,35,880,16.7,80,-99,Healthy,On,upcoming
2026-09-07T16:22:13,off,0,0,35,911,17.3,80,-4,Healthy,On,upcoming
2026-09-07T16:22:28,off,0,0,35,953,18.1,80,41,Healthy,On,upcoming
2026-09-07T16:22:44,off,0,0,35,964,18.3,80,71,Healthy,On,upcoming
2026-09-07T16:22:58,off,0,0,35,1127,21.4,80,214,Healthy,On,upcoming
2026-09-07T16:23:13,off,0,0,35,1017,19.3,80,-30,Healthy,On,upcoming
2026-09-07T16:23:29,off,0,0,35,959,18.2,80,-43,Healthy,On,upcoming
2026-09-07T16:23:43,off,0,0,35,1038,19.7,80,-239,Healthy,On,upcoming
2026-09-07T16:23:58,off,0,0,35,1022,19.4,80,64,Healthy,On,upcoming
2026-09-07T16:24:14,off,0,0,35,1262,24.0,80,179,Healthy,On,upcoming
2026-09-07T16:24:28,off,0,0,35,1001,19.0,80,-81,Healthy,On,upcoming
2026-09-07T16:24:43,off,0,0,35,1130,21.5,80,119,Healthy,On,upcoming
2026-09-07T16:24:59,off,0,0,35,1088,20.7,80,-1194,Healthy,On,upcoming
2026-09-07T16:25:13,off,0,0,35,1246,23.7,80,-5,Healthy,On,upcoming
2026-09-07T16:25:28,off,0,0,35,1172,22.3,80,-28,Healthy,On,upcoming
2026-09-07T16:25:44,off,0,0,35,1220,23.2,80,173,Healthy,On,upcoming
2026-09-07T16:25:54,on,0,0,35,1220,23.2,80,173,Healthy,On,upcoming
2026-09-07T16:25:58,off,0,0,35,1146,21.8,80,126,Healthy,On,upcoming
2026-09-07T16:26:13,off,0,0,35,1104,21.0,80,17,Healthy,On,upcoming
2026-09-07T16:26:27,off,0,0,35,1183,22.5,80,-13,Healthy,On,upcoming
2026-09-07T16:26:43,off,0,0,35,1167,22.2,80,15,Healthy,On,upcoming
2026-09-07T16:26:58,off,0,0,35,1151,21.9,80,-60,Healthy,On,upcoming
2026-09-07T16:27:12,off,0,0,35,1262,24.0,80,-140,Healthy,On,upcoming
2026-09-07T16:27:29,off,0,0,35,1283,24.4,80,-42,Healthy,On,upcoming
2026-09-07T16:27:43,off,0,0,35,1251,23.8,80,-25,Healthy,On,upcoming
2026-09-07T16:27:45,on,0,0,35,1251,23.8,80,-25,Healthy,On,upcoming
2026-09-07T16:27:57,on,0,0,35,1230,23.4,80,-3,Healthy,On,upcoming
2026-09-07T16:28:01,off,0,0,35,1230,23.4,80,-3,Healthy,On,upcoming
2026-09-07T16:28:14,off,0,0,35,1230,23.4,80,9,Healthy,On,upcoming
2026-09-07T16:28:28,off,0,0,35,1151,21.9,79,-36,Healthy,On,upcoming
2026-09-07T16:28:42,off,0,0,35,1357,25.8,79,106,Healthy,On,upcoming
2026-09-07T16:28:59,off,0,0,35,1341,25.5,79,107,Healthy,On,upcoming
2026-09-07T16:29:13,off,0,0,35,1293,24.6,79,-22,Healthy,On,upcoming
2026-09-07T16:29:27,off,0,0,35,1278,24.3,79,-72,Healthy,On,upcoming
2026-09-07T16:29:44,off,0,0,35,1052,20.0,79,-180,Healthy,On,upcoming
2026-09-07T16:29:58,off,0,0,35,1088,20.7,79,-42,Healthy,On,upcoming
2026-09-07T16:30:12,off,0,0,35,994,18.9,79,13,Healthy,On,upcoming
2026-09-07T16:30:29,off,0,0,35,1115,21.2,79,-26,Healthy,On,upcoming
2026-09-07T16:30:43,off,0,0,35,1225,23.3,79,-9,Healthy,On,upcoming
2026-09-07T16:30:57,off,0,0,35,1167,22.2,79,-51,Healthy,On,upcoming
